,Zellsis SEN,zekken SEN,johnqt SEN,N4RRATE SEN,bang SEN
happywei XLG,7 3 +4,4 4 +0,2 0 +2,4 3 +1,6 3 +3
NoMan XLG,2 5 -3,5 4 +1,2 1 +1,3 3 +0,3 2 +1
Rarga XLG,2 3 -1,7 4 +3,3 3 +0,2 2 +0,4 2 +2
coconut XLG,7 1 +6,1 6 -5,2 3 -1,3 4 -1,3 2 +1
Viva XLG,1 3 -2,1 5 -4,6 4 +2,6 1 +5,0 2 -2
