,v1c C9,OXY C9,Xeppaa C9,mitch C9,neT C9
BABYBAY G2,,0 1 -1,,1 0 +1,2 0 +2
jawgemo G2,1 0 +1,3 0 +3,1 0 +1,,1 0 +1
trent G2,0 1 -1,0 1 -1,,1 2 -1,
JonahP G2,,0 2 -2,,1 0 +1,
valyn G2,,1 1 +0,,0 1 -1,
