,v1c C9,OXY C9,Xeppaa C9,mitch C9,neT C9
BABYBAY G2,3 1 +2,2 8 -6,4 2 +2,5 1 +4,2 2 +0
jawgemo G2,3 2 +1,4 4 +0,8 2 +6,5 4 +1,4 4 +0
trent G2,3 3 +0,4 5 -1,0 3 -3,1 1 +0,2 3 -1
JonahP G2,3 5 -2,3 2 +1,3 4 -1,3 1 +2,4 4 +0
valyn G2,5 5 +0,6 5 +1,2 2 +0,5 2 +3,3 2 +1
