,v1c C9,OXY C9,Xeppaa C9,mitch C9,neT C9
BABYBAY G2,,0 4 -4,1 0 +1,3 0 +3,2 0 +2
jawgemo G2,1 0 +1,3 1 +2,2 0 +2,2 0 +2,2 1 +1
trent G2,1 1 +0,1 2 -1,,1 2 -1,1 1 +0
JonahP G2,,0 3 -3,,1 0 +1,2 0 +2
valyn G2,,3 1 +2,,0 1 -1,
