,crazyguy RRQ,Kushy RRQ,xffero RRQ,Monyet RRQ,Jemkin RRQ
rushia BLG,1 0 +1,1 1 +0,1 2 -1,1 0 +1,
Knight BLG,0 1 -1,,,0 1 -1,
nephh BLG,1 1 +0,,1 1 +0,1 1 +0,
whzy BLG,,,1 1 +0,,1 1 +0
Levius BLG,,1 0 +1,,,0 1 -1
