,crazyguy RRQ,Kushy RRQ,xffero RRQ,Monyet RRQ,Jemkin RRQ
rushia BLG,,,,,1 0 +1
Knight BLG,,1 0 +1,,0 1 -1,1 0 +1
nephh BLG,,,1 1 +0,,0 1 -1
whzy BLG,1 2 -1,1 0 +1,0 1 -1,,
Levius BLG,2 0 +2,1 0 +1,2 0 +2,1 2 -1,
