,crazyguy RRQ,Kushy RRQ,xffero RRQ,Monyet RRQ,Jemkin RRQ
rushia BLG,7 7 +0,6 8 -2,1 9 -8,6 10 -4,7 8 -1
Knight BLG,4 7 -3,11 4 +7,10 7 +3,8 9 -1,8 11 -3
nephh BLG,6 4 +2,7 5 +2,7 8 -1,7 10 -3,8 9 -1
whzy BLG,5 10 -5,7 8 -1,7 8 -1,5 7 -2,7 14 -7
Levius BLG,12 6 +6,10 10 +0,9 7 +2,10 10 +0,7 9 -2
