,crazyguy RRQ,Kushy RRQ,xffero RRQ,Monyet RRQ,Jemkin RRQ
rushia BLG,3 2 +1,1 3 -2,0 3 -3,1 3 -2,3 5 -2
Knight BLG,1 3 -2,2 0 +2,2 3 -1,1 4 -3,2 4 -2
nephh BLG,1 1 +0,3 1 +2,2 2 +0,2 3 -1,2 5 -3
whzy BLG,1 1 +0,1 2 -1,2 3 -1,0 3 -3,1 7 -6
Levius BLG,2 0 +2,2 3 -1,0 3 -3,3 0 +3,2 5 -3
