,crazyguy RRQ,Kushy RRQ,xffero RRQ,Monyet RRQ,Jemkin RRQ
rushia BLG,0 3 -3,3 2 +1,,3 2 +1,3 0 +3
Knight BLG,1 0 +1,7 1 +6,6 2 +4,3 2 +1,3 5 -2
nephh BLG,1 1 +0,2 1 +1,1 3 -2,1 2 -1,2 3 -1
whzy BLG,2 5 -3,2 3 -1,3 2 +1,4 2 +2,2 2 +0
Levius BLG,9 3 +6,4 4 +0,5 2 +3,4 4 +0,4 2 +2
