,crazyguy RRQ,Kushy RRQ,xffero RRQ,Monyet RRQ,Jemkin RRQ
rushia BLG,1 0 +1,2 3 -1,1 2 -1,1 0 +1,1 0 +1
Knight BLG,0 1 -1,2 0 +2,0 1 -1,0 3 -3,1 1 +0
nephh BLG,1 1 +0,,2 2 +0,1 1 +0,0 2 -2
whzy BLG,1 2 -1,1 1 +0,2 2 +0,,1 5 -4
Levius BLG,2 0 +2,2 0 +2,2 0 +2,2 2 +0,0 3 -3
