,crazyguy RRQ,Kushy RRQ,xffero RRQ,Monyet RRQ,Jemkin RRQ
rushia BLG,,,,,0 2 -2
Knight BLG,,,,,0 2 -2
nephh BLG,,,,,0 2 -2
whzy BLG,,,,,1 2 -1
Levius BLG,,,0 1 -1,,0 2 -2
