,crazyguy RRQ,Kushy RRQ,xffero RRQ,Monyet RRQ,Jemkin RRQ
rushia BLG,4 2 +2,2 3 -1,1 6 -5,2 5 -3,1 3 -2
Knight BLG,2 4 -2,2 3 -1,2 2 +0,4 3 +1,3 2 +1
nephh BLG,4 2 +2,2 3 -1,4 3 +1,4 5 -1,4 1 +3
whzy BLG,2 4 -2,4 3 +1,2 3 -1,1 2 -1,4 5 -1
Levius BLG,1 3 -2,4 3 +1,4 2 +2,3 6 -3,1 2 -1
