,Persia NS,Dambi NS,Rb NS,Francis NS,Ivy NS
Ash GEN,,1 1 +0,,,2 0 +2
Munchkin GEN,0 1 -1,1 3 -2,2 2 +0,1 0 +1,0 1 -1
Foxy9 GEN,1 0 +1,2 3 -1,3 1 +2,0 1 -1,
Karon GEN,0 1 -1,0 3 -3,3 0 +3,,2 1 +1
t3xture GEN,0 1 -1,1 4 -3,1 2 -1,2 0 +2,1 0 +1
