,Persia NS,Dambi NS,Rb NS,Francis NS,Ivy NS
Ash GEN,8 6 +2,7 9 -2,3 5 -2,4 3 +1,7 8 -1
Munchkin GEN,4 11 -7,7 6 +1,5 9 -4,9 6 +3,3 5 -2
Foxy9 GEN,7 10 -3,7 7 +0,8 6 +2,6 3 +3,4 7 -3
Karon GEN,9 10 -1,8 8 +0,9 8 +1,9 6 +3,9 4 +5
t3xture GEN,2 6 -4,4 15 -11,4 9 -5,8 5 +3,11 2 +9
