,Persia NS,Dambi NS,Rb NS,Francis NS,Ivy NS
Ash GEN,,,,,0 1 -1
Munchkin GEN,,,,,
Foxy9 GEN,,,,,
Karon GEN,,0 1 -1,,,
t3xture GEN,,0 1 -1,,1 0 +1,1 1 +0
