,nAts TL,keiko TL,paTiTek TL,kamo TL,trexx TL
Flashback DRX,6 5 +1,4 3 +1,5 2 +3,4 3 +1,3 1 +2
free1ng DRX,2 4 -2,3 5 -2,1 0 +1,1 0 +1,2 2 +0
BeYN DRX,3 2 +1,2 1 +1,0 3 -3,4 2 +2,1 3 -2
MaKo DRX,3 1 +2,4 4 +0,8 2 +6,2 2 +0,3 3 +0
HYUNMIN DRX,3 2 +1,3 5 -2,2 4 -2,1 2 -1,4 1 +3
