,nAts TL,keiko TL,paTiTek TL,kamo TL,trexx TL
Flashback DRX,2 1 +1,1 0 +1,,0 1 -1,
free1ng DRX,,,,,
BeYN DRX,1 0 +1,0 1 -1,,,
MaKo DRX,0 1 -1,0 1 -1,,1 0 +1,1 0 +1
HYUNMIN DRX,1 1 +0,1 3 -2,,3 0 +3,
