,nAts TL,keiko TL,paTiTek TL,kamo TL,trexx TL
Flashback DRX,2 2 +0,1 0 +1,0 1 -1,3 0 +3,
free1ng DRX,0 2 -2,,,1 0 +1,
BeYN DRX,2 0 +2,,,1 1 +0,
MaKo DRX,1 0 +1,,,1 0 +1,
HYUNMIN DRX,,1 0 +1,,0 1 -1,1 0 +1
