,nAts TL,keiko TL,paTiTek TL,kamo TL,trexx TL
Flashback DRX,4 3 +1,2 0 +2,0 1 -1,3 1 +2,
free1ng DRX,0 2 -2,,,1 0 +1,
BeYN DRX,3 0 +3,0 1 -1,,1 1 +0,
MaKo DRX,1 1 +0,0 1 -1,,2 0 +2,1 0 +1
HYUNMIN DRX,1 1 +0,2 3 -1,,3 1 +2,1 0 +1
