,nAts TL,keiko TL,paTiTek TL,kamo TL,trexx TL
Flashback DRX,12 6 +6,6 7 -1,8 2 +6,7 7 +0,7 4 +3
free1ng DRX,3 4 -1,8 8 +0,2 2 +0,4 5 -1,5 5 +0
BeYN DRX,8 3 +5,4 5 -1,2 4 -2,4 3 +1,2 7 -5
MaKo DRX,4 6 -2,6 6 +0,11 3 +8,4 5 -1,6 3 +3
HYUNMIN DRX,7 6 +1,7 10 -3,8 4 +4,7 5 +2,8 3 +5
