,Shyy KRÜ,mta KRÜ,keznit KRÜ,heat KRÜ,Melser KRÜ
kiNgg LEV,0 4 -4,4 3 +1,5 1 +4,4 5 -1,5 2 +3
aspas LEV,7 4 +3,5 3 +2,4 3 +1,7 2 +5,2 3 -1
tex LEV,3 0 +3,2 2 +0,3 5 -2,3 3 +0,5 3 +2
C0M LEV,3 6 -3,2 0 +2,3 4 -1,1 2 -1,2 1 +1
Mazino LEV,6 4 +2,6 2 +4,3 5 -2,4 3 +1,3 4 -1
