,Shyy KRÜ,mta KRÜ,keznit KRÜ,heat KRÜ,Melser KRÜ
kiNgg LEV,,,,,
aspas LEV,1 0 +1,2 0 +2,3 0 +3,2 0 +2,2 0 +2
tex LEV,,,0 1 -1,,
C0M LEV,,,0 1 -1,,
Mazino LEV,,,,,
