,Shyy KRÜ,mta KRÜ,keznit KRÜ,heat KRÜ,Melser KRÜ
kiNgg LEV,1 3 -2,5 3 +2,4 7 -3,3 2 +1,4 3 +1
aspas LEV,2 4 -2,1 4 -3,2 6 -4,3 3 +0,5 1 +4
tex LEV,5 3 +2,3 4 -1,2 4 -2,2 3 -1,0 4 -4
C0M LEV,3 7 -4,6 1 +5,6 5 +1,4 3 +1,4 2 +2
Mazino LEV,4 3 +1,4 2 +2,6 5 +1,3 5 -2,5 3 +2
