,Shyy KRÜ,mta KRÜ,keznit KRÜ,heat KRÜ,Melser KRÜ
kiNgg LEV,,,1 0 +1,1 2 -1,0 1 -1
aspas LEV,1 0 +1,,2 0 +2,3 1 +2,
tex LEV,,1 0 +1,0 1 -1,0 2 -2,1 0 +1
C0M LEV,,,0 1 -1,,
Mazino LEV,2 0 +2,,0 1 -1,1 0 +1,0 1 -1
