,Shyy KRÜ,mta KRÜ,keznit KRÜ,heat KRÜ,Melser KRÜ
kiNgg LEV,0 1 -1,0 2 -2,2 0 +2,1 0 +1,
aspas LEV,1 0 +1,,0 1 -1,,1 0 +1
tex LEV,2 0 +2,,0 1 -1,0 1 -1,
C0M LEV,,,0 3 -3,0 1 -1,
Mazino LEV,,0 1 -1,,,2 0 +2
