,Shyy KRÜ,mta KRÜ,keznit KRÜ,heat KRÜ,Melser KRÜ
kiNgg LEV,,,,,
aspas LEV,1 0 +1,4 0 +4,4 1 +3,3 0 +3,3 0 +3
tex LEV,,,0 4 -4,,2 0 +2
C0M LEV,,,0 2 -2,,
Mazino LEV,,,0 1 -1,,
