,Shyy KRÜ,mta KRÜ,keznit KRÜ,heat KRÜ,Melser KRÜ
kiNgg LEV,2 2 +0,1 1 +0,3 1 +2,2 1 +1,2 2 +0
aspas LEV,3 1 +2,4 2 +2,6 1 +5,2 1 +1,7 1 +6
tex LEV,4 2 +2,5 2 +3,1 0 +1,5 2 +3,2 1 +1
C0M LEV,1 2 -1,2 0 +2,1 1 +0,0 1 -1,2 2 +0
Mazino LEV,4 2 +2,4 3 +1,2 2 +0,4 1 +3,0 0
