,Shyy KRÜ,mta KRÜ,keznit KRÜ,heat KRÜ,Melser KRÜ
kiNgg LEV,1 0 +1,,,,
aspas LEV,2 1 +1,2 0 +2,2 0 +2,1 0 +1,1 0 +1
tex LEV,,,2 0 +2,1 1 +0,0 1 -1
C0M LEV,,1 2 -1,0 1 -1,1 0 +1,
Mazino LEV,,,1 0 +1,,1 1 +0
