,Shyy KRÜ,mta KRÜ,keznit KRÜ,heat KRÜ,Melser KRÜ
kiNgg LEV,1 2 -1,2 3 -1,5 0 +5,3 2 +1,0 1 -1
aspas LEV,5 2 +3,2 1 +1,7 3 +4,5 1 +4,5 0 +5
tex LEV,3 0 +3,2 1 +1,3 4 -1,3 4 -1,1 1 +0
C0M LEV,0 1 -1,3 2 +1,2 7 -5,1 1 +0,1 0 +1
Mazino LEV,3 1 +2,0 2 -2,2 1 +1,1 0 +1,4 2 +2
