,Shyy KRÜ,mta KRÜ,keznit KRÜ,heat KRÜ,Melser KRÜ
kiNgg LEV,1 5 -4,2 4 -2,4 1 +3,5 3 +2,1 1 +0
aspas LEV,4 4 +0,5 2 +3,5 4 +1,5 1 +4,5 3 +2
tex LEV,6 2 +4,2 7 -5,4 2 +2,4 5 -1,3 1 +2
C0M LEV,2 5 -3,3 5 -2,1 3 -2,4 2 +2,3 0 +3
Mazino LEV,2 6 -4,5 3 +2,4 2 +2,3 2 +1,7 2 +5
