,Shyy KRÜ,mta KRÜ,keznit KRÜ,heat KRÜ,Melser KRÜ
kiNgg LEV,6 19 -13,14 16 -2,20 12 +8,15 15 +0,13 8 +5
aspas LEV,18 19 -1,16 13 +3,19 18 +1,17 10 +7,20 10 +10
tex LEV,20 9 +11,13 17 -4,14 15 -1,16 17 -1,12 10 +2
C0M LEV,13 20 -7,15 7 +8,13 18 -5,12 11 +1,13 10 +3
Mazino LEV,17 19 -2,26 11 +15,18 18 +0,18 16 +2,20 12 +8
