,Shyy KRÜ,mta KRÜ,keznit KRÜ,heat KRÜ,Melser KRÜ
kiNgg LEV,2 5 -3,2 5 -3,4 2 +2,1 4 -3,1 0 +1
aspas LEV,2 6 -4,1 2 -1,2 4 -2,0 3 -3,1 2 -1
tex LEV,2 2 +0,1 2 -1,4 4 +0,2 4 -2,2 1 +1
C0M LEV,4 0 +4,2 1 +1,2 5 -3,3 3 +0,2 5 -3
Mazino LEV,1 4 -3,7 1 +6,3 4 -1,4 5 -1,5 3 +2
