,Shyy KRÜ,mta KRÜ,keznit KRÜ,heat KRÜ,Melser KRÜ
kiNgg LEV,0 1 -1,2 1 +1,1 0 +1,,
aspas LEV,0 1 -1,,0 2 -2,1 0 +1,2 0 +2
tex LEV,,0 1 -1,1 2 -1,1 0 +1,
C0M LEV,0 1 -1,1 0 +1,2 1 +1,,
Mazino LEV,0 1 -1,,1 0 +1,,1 0 +1
