,Shyy KRÜ,mta KRÜ,keznit KRÜ,heat KRÜ,Melser KRÜ
kiNgg LEV,,,1 0 +1,1 0 +1,
aspas LEV,1 0 +1,0 1 -1,3 0 +3,,1 0 +1
tex LEV,1 0 +1,1 0 +1,,1 0 +1,
C0M LEV,,1 0 +1,0 1 -1,,1 0 +1
Mazino LEV,1 0 +1,0 1 -1,,,0 0
