,brawk NRG,Ethan NRG,mada NRG,skuba NRG,s0m NRG
Zellsis SEN,3 5 -2,3 2 +1,2 3 -1,2 3 -1,1 4 -3
bang SEN,2 3 -1,1 3 -2,1 4 -3,3 2 +1,5 2 +3
johnqt SEN,3 2 +1,5 2 +3,4 3 +1,2 3 -1,3 1 +2
N4RRATE SEN,3 4 -1,1 2 -1,0 3 -3,0 4 -4,3 2 +1
zekken SEN,1 5 -4,2 3 -1,6 4 +2,2 2 +0,2 4 -2
