,brawk NRG,Ethan NRG,mada NRG,skuba NRG,s0m NRG
Zellsis SEN,,0 1 -1,,,0 1 -1
bang SEN,,,0 1 -1,,
johnqt SEN,,,0 1 -1,,
N4RRATE SEN,0 1 -1,0 1 -1,,0 1 -1,1 0 +1
zekken SEN,,1 0 +1,3 3 +0,1 2 -1,1 2 -1
