,brawk NRG,Ethan NRG,mada NRG,skuba NRG,s0m NRG
Zellsis SEN,,0 1 -1,1 0 +1,,1 0 +1
bang SEN,,,2 0 +2,,1 0 +1
johnqt SEN,0 1 -1,,0 2 -2,,
N4RRATE SEN,0 1 -1,,0 1 -1,,1 0 +1
zekken SEN,,1 2 -1,3 1 +2,,3 1 +2
