,brawk NRG,Ethan NRG,mada NRG,skuba NRG,s0m NRG
Zellsis SEN,10 18 -8,9 15 -6,12 10 +2,9 7 +2,7 10 -3
bang SEN,10 15 -5,8 10 -2,9 10 -1,10 12 -2,13 11 +2
johnqt SEN,11 13 -2,12 13 -1,16 8 +8,8 15 -7,12 5 +7
N4RRATE SEN,12 18 -6,14 12 +2,12 15 -3,5 11 -6,15 6 +9
zekken SEN,9 18 -9,9 11 -2,14 15 -1,18 14 +4,19 10 +9
