,brawk NRG,Ethan NRG,mada NRG,skuba NRG,s0m NRG
Zellsis SEN,,0 2 -2,3 2 +1,,1 1 +0
bang SEN,0 1 -1,1 2 -1,2 3 -1,1 0 +1,2 1 +1
johnqt SEN,0 2 -2,0 1 -1,1 3 -2,0 1 -1,1 0 +1
N4RRATE SEN,0 5 -5,2 1 +1,2 2 +0,0 1 -1,4 2 +2
zekken SEN,0 1 -1,2 3 -1,8 6 +2,4 3 +1,5 3 +2
