,brawk NRG,Ethan NRG,mada NRG,skuba NRG,s0m NRG
Zellsis SEN,1 4 -3,2 6 -4,2 2 +0,2 2 +0,2 0 +2
bang SEN,0 4 -4,2 2 +0,1 1 +0,1 4 -3,2 3 -1
johnqt SEN,3 3 +0,3 2 +1,5 1 +4,1 5 -4,4 1 +3
N4RRATE SEN,1 5 -4,0 5 -5,4 2 +2,0 1 -1,1 1 +0
zekken SEN,1 3 -2,1 3 -2,1 4 -3,4 2 +2,2 3 -1
