,brawk NRG,Ethan NRG,mada NRG,skuba NRG,s0m NRG
Zellsis SEN,,,1 2 -1,,
bang SEN,0 1 -1,0 1 -1,0 1 -1,1 0 +1,0 1 -1
johnqt SEN,0 1 -1,,1 0 +1,,
N4RRATE SEN,0 3 -3,2 0 +2,0 1 -1,,1 1 +0
zekken SEN,,,2 1 +1,2 0 +2,1 0 +1
