,brawk NRG,Ethan NRG,mada NRG,skuba NRG,s0m NRG
Zellsis SEN,1 5 -4,2 2 +0,5 4 +1,4 1 +3,2 3 -1
bang SEN,4 2 +2,2 4 -2,3 4 -1,2 3 -1,1 3 -2
johnqt SEN,1 6 -5,3 5 -2,3 0 +3,1 4 -3,0 3 -3
N4RRATE SEN,4 6 -2,6 3 +3,5 6 -1,4 4 +0,8 1 +7
zekken SEN,5 6 -1,3 2 +1,2 4 -2,7 5 +2,10 1 +9
