,brawk NRG,Ethan NRG,mada NRG,skuba NRG,s0m NRG
Zellsis SEN,5 4 +1,2 5 -3,3 1 +2,1 1 +0,2 3 -1
bang SEN,4 6 -2,3 1 +2,4 1 +3,4 3 +1,5 3 +2
johnqt SEN,4 2 +2,1 4 -3,4 4 +0,4 3 +1,5 0 +5
N4RRATE SEN,4 3 +1,7 2 +5,3 4 -1,1 2 -1,3 2 +1
zekken SEN,2 4 -2,3 3 +0,5 3 +2,5 5 +0,5 2 +3
