,Less VIT,KovaQ VIT,Derke VIT,Kicks VIT,UNFAKE VIT
kamyk M8,,,0 3 -3,,
Minny M8,0 1 -1,,0 2 -2,,
Veqaj M8,0 1 -1,,0 1 -1,,
Proxh M8,0 2 -2,,,,
ComeBack M8,4 1 +3,3 0 +3,4 5 -1,3 0 +3,5 0 +5
