,Less VIT,KovaQ VIT,Derke VIT,Kicks VIT,UNFAKE VIT
kamyk M8,,,0 1 -1,,
Minny M8,,,,,
Veqaj M8,0 1 -1,,,,
Proxh M8,0 2 -2,,,,
ComeBack M8,0 1 -1,,1 0 +1,,
