,Less VIT,KovaQ VIT,Derke VIT,Kicks VIT,UNFAKE VIT
kamyk M8,,,0 3 -3,0 1 -1,
Minny M8,1 0 +1,3 1 +2,3 3 +0,0 2 -2,0 2 -2
Veqaj M8,0 3 -3,1 2 -1,2 2 +0,1 3 -2,1 0 +1
Proxh M8,,2 0 +2,0 1 -1,1 1 +0,0 1 -1
ComeBack M8,4 3 +1,1 1 +0,1 4 -3,2 1 +1,1 4 -3
