,Less VIT,KovaQ VIT,Derke VIT,Kicks VIT,UNFAKE VIT
kamyk M8,,,,,
Minny M8,,2 1 +1,1 0 +1,0 1 -1,
Veqaj M8,,1 0 +1,2 0 +2,0 2 -2,
Proxh M8,,1 0 +1,0 1 -1,1 1 +0,
ComeBack M8,1 0 +1,,1 1 +0,1 1 +0,1 2 -1
