,Less VIT,KovaQ VIT,Derke VIT,Kicks VIT,UNFAKE VIT
kamyk M8,,,0 2 -2,,
Minny M8,,,0 2 -2,,
Veqaj M8,,,0 1 -1,,
Proxh M8,,,,,
ComeBack M8,3 0 +3,2 0 +2,1 4 -3,2 0 +2,4 0 +4
