,Less VIT,KovaQ VIT,Derke VIT,Kicks VIT,UNFAKE VIT
kamyk M8,8 5 +3,8 11 -3,13 12 +1,10 6 +4,11 10 +1
Minny M8,7 7 +0,11 9 +2,10 11 -1,8 7 +1,9 12 -3
Veqaj M8,8 11 -3,5 9 -4,7 7 +0,6 14 -8,9 6 +3
Proxh M8,6 6 +0,7 8 -1,8 8 +0,7 11 -4,7 13 -6
ComeBack M8,12 13 -1,13 4 +9,8 14 -6,13 5 +8,8 11 -3
