,Click M8,Kada M8,Zyppan M8,RobbieBk M8,Minny M8
hype APK,0 3 -3,2 3 -1,0 6 -6,2 2 +0,2 4 -2
MOLSI APK,3 2 +1,1 0 +1,3 5 -2,1 4 -3,1 5 -4
florescent APK,5 3 +2,3 3 +0,4 4 +0,3 6 -3,5 1 +4
AvovA APK,1 6 -5,3 2 +1,2 1 +1,3 3 +0,3 3 +0
oderus APK,2 6 -4,2 4 -2,2 1 +1,1 3 -2,1 4 -3
