,Click M8,Kada M8,Zyppan M8,RobbieBk M8,Minny M8
hype APK,7 10 -3,5 4 +1,2 10 -8,7 3 +4,6 9 -3
MOLSI APK,5 8 -3,3 2 +1,8 9 -1,1 6 -5,2 9 -7
florescent APK,10 7 +3,6 6 +0,6 8 -2,7 8 -1,10 7 +3
AvovA APK,6 9 -3,5 5 +0,6 5 +1,7 4 +3,5 11 -6
oderus APK,5 9 -4,8 7 +1,7 7 +0,5 5 +0,6 6 +0
