,Click M8,Kada M8,Zyppan M8,RobbieBk M8,Minny M8
hype APK,1 4 -3,,0 1 -1,1 0 +1,2 3 -1
MOLSI APK,0 3 -3,,1 1 +0,0 1 -1,
florescent APK,5 2 +3,0 1 -1,2 2 +0,0 1 -1,1 0 +1
AvovA APK,2 2 +0,,1 0 +1,3 0 +3,
oderus APK,0 1 -1,0 3 -3,,0 1 -1,0 1 -1
