,Click M8,Kada M8,Zyppan M8,RobbieBk M8,Minny M8
hype APK,1 3 -2,,0 1 -1,1 0 +1,1 1 +0
MOLSI APK,0 2 -2,,1 0 +1,0 1 -1,
florescent APK,1 2 -1,,2 1 +1,,1 0 +1
AvovA APK,1 1 +0,,1 0 +1,1 0 +1,
oderus APK,0 1 -1,0 1 -1,,0 1 -1,
