,Click M8,Kada M8,Zyppan M8,RobbieBk M8,Minny M8
hype APK,7 7 +0,3 1 +2,2 4 -2,5 1 +4,4 5 -1
MOLSI APK,2 6 -4,2 2 +0,5 4 +1,0 2 -2,1 4 -3
florescent APK,5 4 +1,3 3 +0,2 4 -2,4 2 +2,5 6 -1
AvovA APK,5 3 +2,2 3 -1,4 4 +0,4 1 +3,2 8 -6
oderus APK,3 3 +0,6 3 +3,5 6 -1,4 2 +2,5 2 +3
