,n1zzy TS,Wild0reoo TS,kellyS TS,JessieVash TS,invy TS
xffero RRQ,5 4 +1,5 0 +5,5 3 +2,5 1 +4,1 2 -1
crazyguy RRQ,2 1 +1,1 1 +0,3 4 -1,1 2 -1,4 3 +1
Jemkin RRQ,4 4 +0,5 1 +4,2 3 -1,4 0 +4,4 0 +4
Kushy RRQ,4 3 +1,3 2 +1,4 1 +3,2 2 +0,1 3 -2
Monyet RRQ,2 2 +0,1 1 +0,1 5 -4,2 0 +2,3 2 +1
