,n1zzy TS,Wild0reoo TS,kellyS TS,JessieVash TS,invy TS
xffero RRQ,,,0 1 -1,,
crazyguy RRQ,2 1 +1,2 0 +2,1 0 +1,,
Jemkin RRQ,3 0 +3,2 0 +2,,,
Kushy RRQ,,,1 0 +1,,0 1 -1
Monyet RRQ,1 1 +0,,,,
