,n1zzy TS,Wild0reoo TS,kellyS TS,JessieVash TS,invy TS
xffero RRQ,0 1 -1,1 0 +1,,1 0 +1,
crazyguy RRQ,1 0 +1,0 1 -1,0 1 -1,,0 2 -2
Jemkin RRQ,1 2 -1,1 1 +0,1 0 +1,,1 0 +1
Kushy RRQ,0 1 -1,,,,
Monyet RRQ,,,,,0 1 -1
