,n1zzy TS,Wild0reoo TS,kellyS TS,JessieVash TS,invy TS
xffero RRQ,9 11 -2,15 3 +12,11 11 +0,12 7 +5,6 6 +0
crazyguy RRQ,8 7 +1,7 4 +3,11 11 +0,5 7 -2,9 14 -5
Jemkin RRQ,13 8 +5,14 4 +10,5 9 -4,16 4 +12,13 7 +6
Kushy RRQ,8 10 -2,7 3 +4,9 9 +0,7 6 +1,4 9 -5
Monyet RRQ,10 6 +4,7 4 +3,7 9 -2,3 6 -3,11 13 -2
