,n1zzy TS,Wild0reoo TS,kellyS TS,JessieVash TS,invy TS
xffero RRQ,0 3 -3,2 0 +2,0 1 -1,1 0 +1,
crazyguy RRQ,3 1 +2,2 1 +1,1 1 +0,,0 2 -2
Jemkin RRQ,6 2 +4,4 2 +2,1 2 -1,1 1 +0,3 1 +2
Kushy RRQ,0 3 -3,,1 0 +1,0 1 -1,0 1 -1
Monyet RRQ,5 1 +4,1 1 +0,0 1 -1,,1 4 -3
