,n1zzy TS,Wild0reoo TS,kellyS TS,JessieVash TS,invy TS
xffero RRQ,0 2 -2,1 0 +1,,,
crazyguy RRQ,,,,,
Jemkin RRQ,2 0 +2,1 1 +0,0 2 -2,1 1 +0,2 1 +1
Kushy RRQ,0 2 -2,,,0 1 -1,
Monyet RRQ,4 0 +4,1 1 +0,0 1 -1,,1 3 -2
