,n1zzy TS,Wild0reoo TS,kellyS TS,JessieVash TS,invy TS
xffero RRQ,1 0 +1,2 2 +0,3 4 -1,2 3 -1,2 0 +2
crazyguy RRQ,4 3 +1,4 2 +2,5 1 +4,1 0 +1,2 4 -2
Jemkin RRQ,5 1 +4,5 0 +5,2 1 +1,6 2 +4,3 2 +1
Kushy RRQ,2 1 +1,2 0 +2,2 2 +0,3 1 +2,2 2 +0
Monyet RRQ,3 1 +2,3 0 +3,3 0 +3,1 3 -2,4 3 +1
