,n1zzy TS,Wild0reoo TS,kellyS TS,JessieVash TS,invy TS
xffero RRQ,,,,,0 1 -1
crazyguy RRQ,,,,,0 2 -2
Jemkin RRQ,4 0 +4,3 0 +3,3 0 +3,4 0 +4,4 2 +2
Kushy RRQ,,,,,0 2 -2
Monyet RRQ,,,,,0 1 -1
