,n1zzy TS,Wild0reoo TS,kellyS TS,JessieVash TS,invy TS
xffero RRQ,3 7 -4,8 1 +7,3 4 -1,5 3 +2,3 4 -1
crazyguy RRQ,2 3 -1,2 1 +1,3 6 -3,3 5 -2,3 7 -4
Jemkin RRQ,4 3 +1,4 3 +1,1 5 -4,6 2 +4,6 5 +1
Kushy RRQ,2 6 -4,2 1 +1,3 6 -3,2 3 -1,1 4 -3
Monyet RRQ,5 3 +2,3 3 +0,3 4 -1,0 3 -3,4 8 -4
