,Ruxic NAVI,ANGE1 NAVI,hiro NAVI,Shao NAVI,alexiiik NAVI
Boo TH,,,1 0 +1,,
Wo0t TH,1 2 -1,,,,
RieNs TH,,,,,1 1 +0
benjyfishy TH,,,1 0 +1,0 1 -1,2 0 +2
MiniBoo TH,0 2 -2,2 0 +2,,,0 2 -2
